[?1034hMRR : 0.558	
P@1 : 0.376	
0.064426203649777	0.054832752794027	
0.099440209252018	0.056526213884354	
0.10574273026042	0.056565385311842	
0.10994441093269	0.058763556182384	
0.12044861261336	0.058447953313589	
0.13305365463017	0.057317316532135	
0.14075673586266	0.054072007536888	
0.17296962101672	0.059028081595898	
0.17366990112877	0.056726675480604	
0.19677914482625	0.058180466294289	
0.20868390673101	0.056932132691145	
0.22619090953213	0.055271353572607	
0.24019651177303	0.058783289045095	
0.24229735210916	0.058013927191496	
0.24789959300552	0.041777435690165	
0.24930015322961	0.025421395897865	
0.25350183390188	0.049661792814732	
0.25490239412597	0.057571295648813	
0.26050463502233	0.064125865697861	
0.26330575547051	0.059283029288054	
0.26400603558255	0.058517497032881	
0.271008836703	0.056227818131447	
0.27521051737527	0.056985341012478	
0.3039220019691	0.056210841983557	
0.31372592353773	0.054945986717939	
0.35294160981224	0.058538321405649	
0.35364188992429	0.060022778809071	
0.37535057339768	0.056655433028936	
0.37675113362177	0.057583123445511	
0.37815169384586	0.055465668439865	
0.38165309440608	0.055751301348209	
0.40406205799151	0.055323578417301	
0.45238138572261	0.055784482508898	
0.48249343054053	0.052607398480177	
0.48739539132485	0.055067267268896	
0.49649903278143	0.055332347750664	
0.50210127367779	0.058327399194241	
0.51050463502233	0.058046638965607	
0.52451023726322	0.055004242807627	
0.55182116163297	0.053455576300621	
0.55532256219319	0.06014446914196	
0.57282956499431	0.053004492074251	
0.57983236611476	0.058121785521507	
0.59173712801952	0.058300688862801	
0.60364188992429	0.056940898299217	
0.61904805238927	0.053304128348827	
0.65266149776742	0.055721070617437	
0.7366951112128	0.060308407992125	
0.74649903278143	0.058762472122908	
0.75490239412597	0.045174237340689	
0.76400603558255	0.01493251696229	
0.78641499916798	0.054779268801212	
0.7913169599523	0.052085053175688	
0.84173712801952	0.057035058736801	
0.84383796835566	0.05423891544342	
0.85084076947611	0.060005396604538	
0.86904805238927	0.055590357631445	
0.86974833250132	0.055005721747875	
0.87044861261336	0.053319122642279	
0.88375393474221	0.055969838052988	
0.90896401877583	0.050186213105917	
0.92717130168899	0.054102789610624	
0.95658306639487	0.0056833028793335	
0.9600844669551	0.059813994914293	
0.97829174986826	0.054171610623598	
0.97899202998031	0.06011813133955	
MRR : 0.583	
P@1 : 0.434	
Loss after 1 epochs: 0.056	
0.005602674238012	0.050180099904537	
0.032213318495715	0.051282308995724	
0.048319761072746	0.057700019329786	
0.054622282081149	0.049338784068823	
0.074930405330449	0.052012484520674	
0.094538248467704	0.046400409191847	
0.10714329048451	0.038694527000189	
0.11904805238927	0.038246817886829	
0.12535057339768	0.059020802378654	
0.1288519739579	0.033476948738098	
0.13305365463017	0.057356383651495	
0.13375393474221	0.055567663162947	
0.17437018124081	0.049288667738438	
0.19187718404193	0.048101041465998	
0.20028054538647	0.016882363706827	
0.20798362661896	0.032709155231714	
0.20868390673101	0.02969578653574	
0.22829174986826	0.079323813319206	
0.22899202998031	0.046226616948843	
0.23459427087667	0.048520658165216	
0.23949623166098	0.066278792917728	
0.24019651177303	0.056581363081932	
0.2507007134537	0.010622028261423	
0.26120491513437	0.049234114587307	
0.28221331849572	0.046434573829174	
0.28641499916798	0.044989001005888	
0.29061667984025	0.052312262356281	
0.29201724006434	0.050639398396015	
0.29411808040048	0.037755727767944	
0.29831976107275	0.043036501854658	
0.29972032129684	0.044153153896332	
0.31232536331364	0.062735974788666	
0.31372592353773	0.029642283916473	
0.31442620364978	0.056014731526375	
0.31932816443409	0.046866450458765	
0.3382357274593	0.057487219572067	
0.35084076947611	0.04208342730999	
0.37955225406994	0.057079240679741	
0.39705925687107	0.046208463609219	
0.40196121765538	0.026799984276295	
0.41106485911196	0.036024816334248	
0.44467830449011	0.044106867164373	
0.4537819459467	0.040844276547432	
0.47268950897191	0.039731804281473	
0.47969231009235	0.061815366148949	
0.51260547535846	0.033656146377325	
0.521008836703	0.032560735940933	
0.55322172185706	0.042977645993233	
0.55672312241728	0.030867107212543	
0.58753544734726	0.057947758585215	
0.61554665182905	0.037769965827465	
0.63795561541448	0.04353991150856	
0.65126093754333	0.049263022840023	
0.65826373866378	0.02767475694418	
0.66666710000832	0.026840206235647	
0.69887998516238	0.032852925360203	
0.70168110561056	0.030161634087563	
0.70588278628283	0.026346489787102	
0.72058866863577	0.0079605057835579	
0.75770351457415	0.001374825835228	
0.78711527928003	0.02919577807188	
0.80952424286546	0.012654598802328	
0.81302564342569	0.0014508292078972	
0.81372592353773	0.0053836107254028	
0.81862788432205	0.042164213955402	
0.83403404678703	0.043219402432442	
0.85084076947611	0.025509834289551	
0.89075673586266	0.038097377866507	
0.89845981709515	0.028105519711971	
0.90056065743129	0.044593598693609	
0.9537819459467	0.0012134090065956	
0.95518250617079	0.0012797638773918	
MRR : 0.597	
P@1 : 0.423	
Loss after 2 epochs: 0.041	
0.005602674238012	0.019604559987783	
0.025210517375267	0.0261968113482	
0.028711917935491	0.026325508952141	
0.032213318495715	0.036985423415899	
0.045518640624567	0.063242211937904	
