[?1034hMRR : 0.558	
P@1 : 0.376	
0.064426203649777	0.052779860794544	
0.099440209252018	0.053978394716978	
0.10574273026042	0.0542195700109	
0.10994441093269	0.052363075315952	
0.12044861261336	0.056139625608921	
0.13305365463017	0.054604690521955	
0.14075673586266	0.053190242499113	
0.17296962101672	0.055227693170309	
0.17366990112877	0.054267361760139	
0.19677914482625	0.053160861134529	
0.20868390673101	0.053095810115337	
0.22619090953213	0.04998005926609	
0.24019651177303	0.054450158029795	
0.24229735210916	0.053319405764341	
0.24789959300552	0.032634999603033	
0.24930015322961	0.022904671728611	
0.25350183390188	0.0349355712533	
0.25490239412597	0.058203257620335	
0.26050463502233	0.055562924593687	
0.26330575547051	0.055641423910856	
0.26400603558255	0.054905954748392	
0.271008836703	0.052656296640635	
0.27521051737527	0.052593715488911	
0.3039220019691	0.053817436099052	
0.31372592353773	0.052014458924532	
0.35294160981224	0.055669009685516	
0.35364188992429	0.054897040128708	
0.37535057339768	0.052928797900677	
0.37675113362177	0.053634446114302	
0.37815169384586	0.053158201277256	
0.38165309440608	0.053246438503265	
0.40406205799151	0.051722161471844	
0.45238138572261	0.053886014968157	
0.48249343054053	0.05202142521739	
0.48739539132485	0.051407914608717	
0.49649903278143	0.053104713559151	
0.50210127367779	0.054022524505854	
0.51050463502233	0.055599622428417	
0.52451023726322	0.050708495080471	
0.55182116163297	0.051764227449894	
0.55532256219319	0.053329963237047	
0.57282956499431	0.04932639375329	
0.57983236611476	0.053542356938124	
0.59173712801952	0.053136605769396	
0.60364188992429	0.053329709917307	
0.61904805238927	0.050605699419975	
0.65266149776742	0.053538788110018	
0.7366951112128	0.058950994163752	
0.74649903278143	0.056100580841303	
0.75490239412597	0.022249113768339	
0.76400603558255	0.01209769770503	
0.78641499916798	0.05099730566144	
0.7913169599523	0.035467974841595	
0.84173712801952	0.052455898374319	
0.84383796835566	0.049682807177305	
0.85084076947611	0.057860650122166	
0.86904805238927	0.047156572341919	
0.86974833250132	0.047457590699196	
0.87044861261336	0.044908035546541	
0.88375393474221	0.047165211290121	
0.90896401877583	0.039863787591457	
0.92717130168899	0.049134507775307	
0.95658306639487	0.0038904473185539	
0.9600844669551	0.058563217520714	
0.97829174986826	0.049648940563202	
0.97899202998031	0.055210705846548	
MRR : 0.585	
P@1 : 0.418	
Loss after 1 epochs: 0.053	
0.005602674238012	0.043775252997875	
0.032213318495715	0.038642253726721	
0.048319761072746	0.044914480298758	
0.054622282081149	0.033721722662449	
0.074930405330449	0.050927262753248	
0.094538248467704	0.03258228674531	
0.10714329048451	0.028674460947514	
0.11904805238927	0.031790740787983	
0.12535057339768	0.044060163199902	
0.1288519739579	0.026236921548843	
0.13305365463017	0.046483896672726	
0.13375393474221	0.047210339456797	
0.17437018124081	0.037578791379929	
0.19187718404193	0.045556239783764	
0.20028054538647	0.017008945345879	
0.20798362661896	0.037539582699537	
0.20868390673101	0.038574684411287	
0.22829174986826	0.051890905946493	
0.22899202998031	0.031931087374687	
0.23459427087667	0.044477734714746	
0.23949623166098	0.059947561472654	
0.24019651177303	0.037036567926407	
0.2507007134537	5.1312148571014e-05	
0.26120491513437	0.035552248358727	
0.28221331849572	0.035851262509823	
0.28641499916798	0.041820522397757	
0.29061667984025	0.047523960471153	
0.29201724006434	0.04171334952116	
0.29411808040048	0.0345862172544	
0.29831976107275	0.038805574178696	
0.29972032129684	0.050647348165512	
0.31232536331364	0.05102550983429	
0.31372592353773	0.034863080829382	
0.31442620364978	0.052390441298485	
0.31932816443409	0.047726605087519	
0.3382357274593	0.043932244181633	
0.35084076947611	0.039662919938564	
0.37955225406994	0.041841048747301	
0.39705925687107	0.038021940737963	
0.40196121765538	0.023473296314478	
0.41106485911196	0.03604769334197	
0.44467830449011	0.048706877976656	
0.4537819459467	0.034170333296061	
0.47268950897191	0.044530343264341	
0.47969231009235	0.052051056176424	
0.51260547535846	0.038429111242294	
0.521008836703	0.02270857617259	
0.55322172185706	0.033097095787525	
0.55672312241728	0.025844391435385	
0.58753544734726	0.071492895483971	
0.61554665182905	0.033950313925743	
0.63795561541448	0.039890225976706	
0.65126093754333	0.037164129316807	
0.65826373866378	0.029264826327562	
0.66666710000832	0.025866832584143	
0.69887998516238	0.018400572240353	
0.70168110561056	0.026366215199232	
0.70588278628283	0.028054852038622	
0.72058866863577	0.0020204819738865	
0.75770351457415	0	
0.78711527928003	0.023907627910376	
0.80952424286546	0.0050892755389214	
0.81302564342569	0	
0.81372592353773	0.0076742619276047	
0.81862788432205	0.022641599178314	
0.83403404678703	0.039489295333624	
0.85084076947611	0.03175213187933	
0.89075673586266	0.046869821846485	
0.89845981709515	0.01974881067872	
0.90056065743129	0.031499389559031	
0.9537819459467	0.0099951885640621	
0.95518250617079	0	
MRR : 0.624	
P@1 : 0.455	
Loss after 2 epochs: 0.035	
0.005602674238012	0.017238322645426	
0.025210517375267	0.014320317655802	
0.028711917935491	0.015337243676186	
0.032213318495715	0.021455720067024	
0.045518640624567	0.031941402703524	
0.08963628768339	0.032435949891806	
0.09103684790748	0.0098537057638168	
0.095938808691794	0.038619413971901	
0.10714329048451	0.011689700186253	
0.11274553138087	0.029721360653639	
0.12535057339768	0.0122713111341	
0.12815169384586	0.037299461662769	
0.13375393474221	0.027030263096094	
0.17437018124081	0.015284661203623	
0.17857186191308	0.010165892541409	
0.19817970505034	0.0086211487650871	
0.21078474706714	0.026834275573492	
0.21218530729123	0.028888549655676	
0.22829174986826	0.030664946883917	
0.26470631569459	0.023787818849087	
0.27871191793549	0.025735594332218	
0.28081275827163	0.024322681128979	
0.3319332064509	0	
0.34593880869179	0.0095736496150494	
0.35574273026042	0.018373023718596	
0.36834777227723	0.017091441899538	
0.37465029328563	0.014456551522017	
0.38655505519039	0.018433682620525	
0.38725533530244	0.052556399255991	
0.39075673586266	0.030287183821201	
0.40406205799151	0.023900736123323	
0.41806766023241	0.0077424831688404	
0.42156906079263	0.033567026257515	
0.43417410280944	0.028242271393538	
0.44747942493829	0.013312011957169	
0.46428614762737	0.0095426551997662	
0.47128894874782	0.018403042107821	
0.50210127367779	0.014347806572914	
0.50910407479824	0.0043608359992504	
0.52310967703913	0.01150731369853	
0.52380995715118	0.034873649477959	
0.53151303838367	0.026591099798679	
0.53571471905594	0.015321303158998	
0.53851583950412	0.018180560320616	
0.54341780028843	0.038745813071728	
0.54972032129684	0.030163649469614	
0.55742340252933	0.034242328256369	
0.57072872465818	0.014210615307093	
0.57142900477022	0.011299178004265	
0.57352984510636	0.02481584250927	
0.5819332064509	0.020668856799603	
0.58543460701112	0.027889732271433	
0.58963628768339	0.035381898283958	
0.59523852857975	0.016804665327072	
0.614846371717	0.033807970583439	
0.61904805238927	0.011257249861956	
0.64635897675902	0.01346917822957	
0.65336177787947	0.016166061162949	
0.65896401877583	0.03603633493185	
0.6631656994481	0.030372016131878	
0.66526653978423	0.028706833720207	
0.68417410280944	0.012730717658997	
0.69467830449011	0.011486448347569	
0.70798362661896	0.018397990614176	
0.71778754818759	0.0082586072385311	
0.7507007134537	0.016285296529531	
0.75140099356574	0.00019882246851921	
0.78081275827163	0.012282907962799	
0.8319332064509	0.017598543316126	
0.86274553138087	0.025422040373087	
0.8725494529495	0.011489607393742	
0.91036457899992	0.0067260712385178	
0.94887998516238	0.0020541623234749	
0.97268950897191	0.011822208762169	
0.99299763222121	0.021319177001715	
MRR : 0.620	
P@1 : 0.455	
Loss after 3 epochs: 0.021	
0.011905195246415	0.01550605148077	
0.037815559392074	0.01011585444212	
0.056723122417284	0.022718105465174	
0.060224522977508	0.024116344749928	
0.065126483761822	0.045409373939037	
0.067227324097956	0.016900550574064	
0.07212928488227	0.0099039301276207	
0.090336567795435	0.011815059930086	
0.10714329048451	0.0059097968041897	
0.13445421485426	0.0045587494969368	
0.15196121765538	0.011781554669142	
0.15336177787947	0.01808812841773	
0.16176513922401	0.012099526822567	
0.19327774426602	0.032100256532431	
0.22549062942008	0.0047303214669228	
0.24369791233325	0.0070157796144485	
0.24439819244529	0	
0.24789959300552	0	
0.25560267423801	0.015203781425953	
0.29201724006434	0.013984460383654	
0.29831976107275	0.029541566967964	
0.30322172185706	0.039138529449701	
0.30742340252933	0.0075725615024567	
0.31022452297751	0.015392892062664	
0.31092480308955	0.03234227001667	
0.31932816443409	0.021970175206661	
0.32142900477022	0.0042768940329552	
0.34173712801952	0.026704140007496	
0.36204525126882	0.015068270266056	
0.37745141373381	0.030750542879105	
0.40896401877583	0.011132724583149	
0.41386597956014	0.0093151554465294	
0.43137298236126	0.012262064963579	
0.43767550336966	0.019900642335415	
0.44047662381784	0.010857384651899	
0.45588278628283	0.015912633389235	
0.46218530729123	0.0053258091211319	
0.46848782829964	0.01077675819397	
0.48109287031644	0.016140718013048	
0.48879595154894	0.026777867227793	
0.49439819244529	0.0073282904922962	
0.50350183390188	0.026759207248688	
0.50490239412597	0.010262344032526	
0.51400603558255	0.0087802670896053	
0.54481836051252	0.035230349749327	
0.5819332064509	0.0074454285204411	
0.5945382484677	0.0084534995257854	
0.6085438507086	0.0036548227071762	
0.61624693194109	0.011469125747681	
0.61834777227723	0.011412255465984	
0.62184917283745	0.0066954046487808	
0.66036457899992	0.015987191349268	
0.70588278628283	0.013569671660662	
0.71358586751532	0.035599052906036	
0.73529455098871	0.012630008161068	
0.75770351457415	0	
0.76330575547051	0	
0.76400603558255	0.0036388151347637	
0.771008836703	0.019619848579168	
0.77170911681504	0.013662938028574	
0.78221331849572	0.0084809511899948	
0.80462228208115	0.0036028921604156	
0.80742340252933	0.0056308917701244	
0.82072872465818	0.017711155116558	
0.82703124566658	0.0036323107779026	
0.82913208600272	0.007481224834919	
0.83263348656294	0.0073979273438454	
0.84873992913997	0.019592743366957	
0.8788519739579	0.018979467451572	
0.88375393474221	0.011142287403345	
0.90686317843969	0.010123372077942	
0.91246541933605	0.015705943107605	
0.92787158180104	0.0042978338897228	
0.93067270224922	0.008214395493269	
0.9334738226974	0.014347583055496	
0.95588278628283	0.00073540583252907	
0.9803925902044	0.010975901037455	
0.98599483110076	0.011538870632648	
MRR : 0.626	
P@1 : 0.476	
Loss after 4 epochs: 0.014	
0.0042021140139224	0.020631328225136	
0.027311357711401	0.01849390566349	
0.032213318495715	0.0037290193140507	
0.048319761072746	0.010603081434965	
0.051120881520925	0.0054057352244854	
0.056723122417284	0.017761029303074	
0.076330965554539	0.0092486031353474	
0.12184917283745	0.014129184186459	
0.14495841653493	0.014280788600445	
0.15336177787947	0.0076555386185646	
0.16526653978423	0.0021535307168961	
0.16806766023241	0.0035098120570183	
0.22128894874782	0	
0.22268950897191	0.0070224478840828	
0.27380995715118	0.0060587376356125	
0.33893600757135	0.0030612163245678	
0.38375393474221	0.0060008279979229	
0.39005645575062	0.012820851057768	
0.39215729608675	0.015725757926702	
0.40126093754333	0.0085372664034367	
0.4131656994481	0.0099167302250862	
0.41386597956014	0.010867465287447	
0.44467830449011	0.022550586611032	
0.46078474706714	0.017060250043869	
0.46708726807555	0.017012126743793	
0.47338978908395	0.00036806613206863	
0.474090069196	0.0055538825690746	
0.47619090953213	0.0039842016994953	
0.47689118964417	0.011532306671143	
0.48459427087667	0.0018494352698326	
0.49719931289347	0.0095042660832405	
0.52521051737527	0.012015145272017	
0.55532256219319	0.009551290422678	
0.55742340252933	0.016919940710068	
0.59033656779543	0.016203388571739	
0.59103684790748	0.00077477842569351	
0.59944020925202	0.0091828033328056	
0.6022413297002	0.029769627377391	
0.60924413082065	0.016545593738556	
0.64495841653493	0.012638568878174	
0.64705925687107	0.00081221014261246	
0.69677914482625	0.0047205686569214	
0.71428614762737	0.016301915049553	
0.73389399076462	0.010668400675058	
0.75350183390188	0.00017222762107849	
0.77240939692709	0.010317828506231	
0.83123292633885	0.0089693814516068	
0.83613488712317	0.014876499772072	
0.84944020925202	0.021708227694035	
0.86204525126882	0.0023413076996803	
0.87114889272541	0.0047156028449535	
0.8725494529495	0.0031949020922184	
0.89145701597471	0.0090671703219414	
0.90756345855174	0.017883963882923	
0.91736738012037	0.0064907446503639	
0.9194682204565	0.0072089731693268	
0.92156906079263	0.0077334567904472	
0.9257707414649	0.0055321007966995	
0.92857186191308	0.0081578195095062	
0.9334738226974	0.0066801570355892	
0.94117690392989	0.001410286873579	
0.96498642773941	0.0098218135535717	
0.97268950897191	0.0012792684137821	
0.974090069196	0.0067757442593575	
0.97829174986826	0.029798086732626	
0.98179315042849	0.001246452331543	
0.9866951112128	0.012951567769051	
0.98949623166098	0.0022557303309441	
0.99159707199712	0.0042153857648373	
MRR : 0.636	
P@1 : 0.487	
Loss after 5 epochs: 0.010	
