[?1034hMRR : 0.579	
P@1 : 0.413	
0.064426203649777	0.049086932092905	
0.099440209252018	0.04534625262022	
0.10574273026042	0.044128943234682	
0.10994441093269	0.046322006732225	
0.12044861261336	0.045273799449205	
0.13305365463017	0.039189729839563	
0.14075673586266	0.042568925768137	
0.17296962101672	0.0478146225214	
0.17366990112877	0.044336583465338	
0.19677914482625	0.026458319276571	
0.20868390673101	0.0548981949687	
0.22619090953213	0.035966392606497	
0.24019651177303	0.047503437846899	
0.24229735210916	0.027058869600296	
0.24789959300552	0.0099143832921982	
0.24930015322961	0.012561235576868	
0.25350183390188	0.023975893855095	
0.25490239412597	0.055697776377201	
0.26050463502233	0.069365672767162	
0.26330575547051	0.048017174005508	
0.26400603558255	0.039762824773788	
0.271008836703	0.055527254939079	
0.27521051737527	0.030455801635981	
0.3039220019691	0.039735306054354	
0.31372592353773	0.037956051528454	
0.35294160981224	0.052078679203987	
0.35364188992429	0.041149616241455	
0.37535057339768	0.03482124209404	
0.37675113362177	0.060402669012547	
0.37815169384586	0.016655698418617	
0.38165309440608	0.039822187274694	
0.40406205799151	0.050355520099401	
0.45238138572261	0.045830808579922	
0.48249343054053	0.038685452193022	
0.48739539132485	0.049577862024307	
0.49649903278143	0.044696949422359	
0.50210127367779	0.02847496420145	
0.51050463502233	0.041407644748688	
0.52451023726322	0.043357770889997	
0.55182116163297	0.02813758328557	
0.55532256219319	0.038935866206884	
0.57282956499431	0.032901834696531	
0.57983236611476	0.018630914390087	
0.59173712801952	0.038255825638771	
0.60364188992429	0.036932960152626	
0.61904805238927	0.040272459387779	
0.65266149776742	0.021573670208454	
0.7366951112128	0.042048007249832	
0.74649903278143	0.037770558148623	
0.75490239412597	0.029575672000647	
0.76400603558255	0.0066778808832169	
0.78641499916798	0.034820519387722	
0.7913169599523	0.0095837004482746	
0.84173712801952	0.046377677470446	
0.84383796835566	0.037796210497618	
0.85084076947611	0.032912015914917	
0.86904805238927	0.032304961234331	
0.86974833250132	0.031493976712227	
0.87044861261336	0.030096031725407	
0.88375393474221	0.030949335545301	
0.90896401877583	0.0422741509974	
0.92717130168899	0.024349343031645	
0.95658306639487	0.020944964140654	
0.9600844669551	0.043916080147028	
0.97829174986826	0.035920388996601	
0.97899202998031	0.040741126984358	
MRR : 0.649	
P@1 : 0.487	
Loss after 1 epochs: 0.038	
0.005602674238012	0.032103206962347	
0.032213318495715	0.032564006745815	
0.048319761072746	0.034193091094494	
0.054622282081149	0.027189180254936	
0.074930405330449	0.034806612879038	
0.094538248467704	0.029384925961494	
0.10714329048451	0.027237813919783	
0.11904805238927	0.017070904374123	
0.12535057339768	0.013052135705948	
0.1288519739579	0.032357826828957	
0.13305365463017	0.027338370680809	
0.13375393474221	0.03806022182107	
0.17437018124081	0.025861155241728	
0.19187718404193	0.034584958106279	
0.20028054538647	0.018225912004709	
0.20798362661896	0.034219708293676	
0.20868390673101	0.039633128792048	
0.22829174986826	0.030057463794947	
0.22899202998031	0.026936177164316	
0.23459427087667	0.036199044436216	
0.23949623166098	0.042548447847366	
0.24019651177303	0.028028808534145	
0.2507007134537	0.0037952437996864	
0.26120491513437	0.046471703797579	
0.28221331849572	0.037015039473772	
0.28641499916798	0.025406889617443	
0.29061667984025	0.041585803031921	
0.29201724006434	0.026302520185709	
0.29411808040048	0.032217893749475	
0.29831976107275	0.042343951761723	
0.29972032129684	0.031822245568037	
0.31232536331364	0.034044414758682	
0.31372592353773	0.016288682818413	
0.31442620364978	0.024876695126295	
0.31932816443409	0.033632829785347	
0.3382357274593	0.028498936444521	
0.35084076947611	0.037271097302437	
0.37955225406994	0.019023176282644	
0.39705925687107	0.034181341528893	
0.40196121765538	0.025322332978249	
0.41106485911196	0.026627521961927	
0.44467830449011	0.028364837169647	
0.4537819459467	0.020265068858862	
0.47268950897191	0.027543816715479	
0.47969231009235	0.042417287826538	
0.51260547535846	0.030748091638088	
0.521008836703	0.015514191240072	
0.55322172185706	0.035066604614258	
0.55672312241728	0.01615533977747	
0.58753544734726	0.035942438989878	
0.61554665182905	0.022808391600847	
0.63795561541448	0.03353813290596	
0.65126093754333	0.026222743093967	
0.65826373866378	0.027218613773584	
0.66666710000832	0.024451989680529	
0.69887998516238	0.050094079226255	
0.70168110561056	0.02515059709549	
0.70588278628283	0.043778479099274	
0.72058866863577	0.0086904689669609	
0.75770351457415	0.0025468580424786	
0.78711527928003	0.029818836599588	
0.80952424286546	0.01652242615819	
0.81302564342569	0.0025254115462303	
0.81372592353773	0.016678106039762	
0.81862788432205	0.040211945772171	
0.83403404678703	0.028458070009947	
0.85084076947611	0.026460856199265	
0.89075673586266	0.03768964484334	
0.89845981709515	0.021061651408672	
0.90056065743129	0.037725005298853	
0.9537819459467	0.012434642761946	
0.95518250617079	0.0087675377726555	
MRR : 0.666	
P@1 : 0.529	
Loss after 2 epochs: 0.029	
0.005602674238012	0.018401097506285	
0.025210517375267	0.030647031962872	
0.028711917935491	0.022458545863628	
0.032213318495715	0.024986438453197	
0.045518640624567	0.028869777917862	
0.08963628768339	0.029024198651314	
0.09103684790748	0.016965504735708	
0.095938808691794	0.030493300408125	
0.10714329048451	0.01279765740037	
0.11274553138087	0.032881803810596	
0.12535057339768	0.024415329098701	
0.12815169384586	0.02136093750596	
0.13375393474221	0.024315752089024	
0.17437018124081	0.019232150167227	
0.17857186191308	0.013104144483805	
0.19817970505034	0.019407104700804	
0.21078474706714	0.042390424758196	
0.21218530729123	0.020557902753353	
0.22829174986826	0.037353340536356	
0.26470631569459	0.041539836674929	
