[?1034hMRR : 0.558	
P@1 : 0.376	
0.064426203649777	0.10838709771633	
0.099440209252018	0.085603162646294	
0.10574273026042	0.095503866672516	
0.10994441093269	0.059223674237728	
0.12044861261336	0.063481122255325	
0.13305365463017	0.059928614646196	
0.14075673586266	0.056651838123798	
0.17296962101672	0.05963047221303	
0.17366990112877	0.056516073644161	
0.19677914482625	0.058938767760992	
0.20868390673101	0.057991448789835	
0.22619090953213	0.056724723428488	
0.24019651177303	0.057489518076181	
0.24229735210916	0.058085482567549	
0.24789959300552	0.055609345436096	
0.24930015322961	0.054838623851538	
0.25350183390188	0.052396632730961	
0.25490239412597	0.05822816491127	
0.26050463502233	0.061266865581274	
0.26330575547051	0.056504156440496	
0.26400603558255	0.05784085392952	
0.271008836703	0.057048074901104	
0.27521051737527	0.05795194208622	
0.3039220019691	0.057869620621204	
0.31372592353773	0.054531171917915	
0.35294160981224	0.05843561142683	
0.35364188992429	0.059035543352365	
0.37535057339768	0.057423070073128	
0.37675113362177	0.056777108460665	
0.37815169384586	0.056513052433729	
0.38165309440608	0.055851921439171	
0.40406205799151	0.056063834577799	
0.45238138572261	0.055834911763668	
0.48249343054053	0.055082831531763	
0.48739539132485	0.056029923260212	
0.49649903278143	0.057328544557095	
0.50210127367779	0.057145401835442	
0.51050463502233	0.056871581822634	
0.52451023726322	0.05305664613843	
0.55182116163297	0.053486157208681	
0.55532256219319	0.059126924723387	
0.57282956499431	0.053541611880064	
0.57983236611476	0.057987958192825	
0.59173712801952	0.05601728707552	
0.60364188992429	0.056244820356369	
0.61904805238927	0.052162136882544	
0.65266149776742	0.05655624344945	
0.7366951112128	0.060368914157152	
0.74649903278143	0.061281178146601	
0.75490239412597	0.050501767545938	
0.76400603558255	0.026641707867384	
0.78641499916798	0.055370755493641	
0.7913169599523	0.055318888276815	
0.84173712801952	0.057224031537771	
0.84383796835566	0.054637413471937	
0.85084076947611	0.057184841483831	
0.86904805238927	0.055358417332172	
0.86974833250132	0.054617870599031	
0.87044861261336	0.05289763957262	
0.88375393474221	0.057077344506979	
0.90896401877583	0.054205607622862	
0.92717130168899	0.056111142039299	
0.95658306639487	0.017783045768738	
0.9600844669551	0.07239493727684	
0.97829174986826	0.057413008064032	
0.97899202998031	0.05690186843276	
MRR : 0.570	
P@1 : 0.402	
Loss after 1 epochs: 0.062	
0.005602674238012	0.057878479361534	
0.032213318495715	0.051147546619177	
0.048319761072746	0.057519733905792	
0.054622282081149	0.044376038014889	
0.074930405330449	0.053322866559029	
0.094538248467704	0.051496013998985	
0.10714329048451	0.041783273220062	
0.11904805238927	0.048740692436695	
0.12535057339768	0.066580057144165	
0.1288519739579	0.048664998263121	
0.13305365463017	0.060124538838863	
0.13375393474221	0.056961409747601	
0.17437018124081	0.057035066187382	
0.19187718404193	0.051531124860048	
0.20028054538647	0.034553069621325	
0.20798362661896	0.049047205597162	
0.20868390673101	0.047523360699415	
0.22829174986826	0.063004739582539	
0.22899202998031	0.050156038254499	
0.23459427087667	0.05409337952733	
0.23949623166098	0.059936739504337	
0.24019651177303	0.05196875706315	
0.2507007134537	0.011530037969351	
0.26120491513437	0.052286095917225	
0.28221331849572	0.046425502747297	
0.28641499916798	0.049670744687319	
0.29061667984025	0.056571461260319	
0.29201724006434	0.048633124679327	
0.29411808040048	0.045077495276928	
0.29831976107275	0.056056264787912	
0.29972032129684	0.057487070560455	
0.31232536331364	0.057560086250305	
0.31372592353773	0.045288052409887	
0.31442620364978	0.057451117783785	
0.31932816443409	0.061965968459845	
0.3382357274593	0.056818570941687	
0.35084076947611	0.04854353889823	
0.37955225406994	0.058842241764069	
0.39705925687107	0.052956115454435	
0.40196121765538	0.037615671753883	
0.41106485911196	0.046777874231339	
0.44467830449011	0.055043548345566	
0.4537819459467	0.049934040755033	
0.47268950897191	0.048139579594135	
0.47969231009235	0.060258883982897	
0.51260547535846	0.048143185675144	
0.521008836703	0.035428248345852	
0.55322172185706	0.041672267019749	
0.55672312241728	0.036462128162384	
0.58753544734726	0.059876684099436	
0.61554665182905	0.044311795383692	
0.63795561541448	0.050654351711273	
0.65126093754333	0.042028184980154	
0.65826373866378	0.043395094573498	
0.66666710000832	0.031991992145777	
0.69887998516238	0.045710846781731	
0.70168110561056	0.038240201771259	
0.70588278628283	0.042677544057369	
0.72058866863577	0.014235224574804	
0.75770351457415	0.0068033151328564	
0.78711527928003	0.031597848981619	
0.80952424286546	0.029417343437672	
0.81302564342569	0.012935314327478	
0.81372592353773	0.013556316494942	
0.81862788432205	0.044692855328321	
0.83403404678703	0.048460654914379	
0.85084076947611	0.050356429070234	
0.89075673586266	0.062017057090998	
0.89845981709515	0.037984229624271	
0.90056065743129	0.054729986935854	
0.9537819459467	0.021262835711241	
0.95518250617079	0.0094679594039917	
MRR : 0.603	
P@1 : 0.450	
Loss after 2 epochs: 0.048	
0.005602674238012	0.04177064448595	
0.025210517375267	0.029105816036463	
0.028711917935491	0.03564514964819	
0.032213318495715	0.044727504253387	
0.045518640624567	0.062628231942654	
